symbol,company,category,enabled,source,as_of_date
360ONE,360 ONE WAM Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
3MINDIA,3M India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ACC,ACC Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
AIAENG,AIA Engineering Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
APLAPOLLO,APL Apollo Tubes Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
AUBANK,AU Small Finance Bank Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
AWL,AWL Agri Business Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ABBOTINDIA,Abbott India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ATGL,Adani Total Gas Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ABCAPITAL,Aditya Birla Capital Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ALKEM,Alkem Laboratories Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ANTHEM,Anthem Biosciences Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
APARINDS,Apar Industries Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
APOLLOTYRE,Apollo Tyres Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ASHOKLEY,Ashok Leyland Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ASTRAL,Astral Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
AUROPHARMA,Aurobindo Pharma Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
AIIL,Authum Investment & Infrastructure Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BSE,BSE Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BAJAJHFL,Bajaj Housing Finance Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BALKRISIND,Balkrishna Industries Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BANKINDIA,Bank of India,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
MAHABANK,Bank of Maharashtra,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BERGEPAINT,Berger Paints India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BDL,Bharat Dynamics Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BHARATFORG,Bharat Forge Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BHEL,Bharat Heavy Electricals Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BHARTIHEXA,Bharti Hexacom Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GROWW,Billionbrains Garage Ventures Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BIOCON,Biocon Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
BLUESTARCO,Blue Star Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
CRISIL,CRISIL Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
COCHINSHIP,Cochin Shipyard Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
COFORGE,Coforge Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
COLPAL,Colgate Palmolive (India) Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
CONCOR,Container Corporation of India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
COROMANDEL,Coromandel International Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
DABUR,Dabur India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
DALBHARAT,Dalmia Bharat Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
DIXON,Dixon Technologies (India) Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ENDURANCE,Endurance Technologies Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
ESCORTS,Escorts Kubota Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
EXIDEIND,Exide Industries Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
NYKAA,FSN E-Commerce Ventures Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
FEDERALBNK,Federal Bank Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
FORTIS,Fortis Healthcare Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GVT&D,GE Vernova T&D India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GMRAIRPORT,GMR Airports Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GICRE,General Insurance Corporation of India,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GLENMARK,Glenmark Pharmaceuticals Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
MEDANTA,Global Health Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GODFRYPHLP,Godfrey Phillips India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GODREJIND,Godrej Industries Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
GODREJPROP,Godrej Properties Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
HDBFS,HDB Financial Services Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
HAVELLS,Havells India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
HEROMOTOCO,Hero MotoCorp Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
HEXT,Hexaware Technologies Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
HINDPETRO,Hindustan Petroleum Corporation Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
POWERINDIA,Hitachi Energy India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
HONAUT,Honeywell Automation India Ltd.,MIDCAP,True,NIFTY_MIDCAP_150,2026-07-19
